designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2012-036,2012-10-11.5,222.8,10.0,215,5,230,17,645,2012-10-11.5,0.5,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.11_12:00:00.txt
FS-2012-035,2012-10-11.5,185.6,14.5,168,5,202,25,1765,2012-10-14.3,3.3,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.11_12:00:00.txt
FS-2012-036,2012-10-12.0,221.1,9.3,217,7,224,15,210,2012-10-12.2,0.2,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.12_00:00:00.txt
FS-2012-035,2012-10-12.0,188.4,15.2,173,7,200,24,1355,2012-10-14.6,2.6,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.12_00:00:00.txt
FS-2012-036,2012-10-12.5,217.0,9.5,1,-88,359,86,6,2012-10-12.0,0.0,102,0,0,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.12_12:00:00.txt
FS-2012-035,2012-10-12.5,187.2,15.9,173,7,200,24,1156,2012-10-14.2,2.2,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.12_12:00:00.txt
FS-2012-035,2012-10-13.0,189.0,15.4,177,9,200,24,983,2012-10-14.6,1.6,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.13_00:00:00.txt
FS-2012-035,2012-10-13.5,187.6,15.8,177,11,198,22,713,2012-10-14.2,1.2,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.13_12:00:00.txt
FS-2012-035,2012-10-14.0,188.4,15.1,181,11,196,22,650,2012-10-14.6,0.6,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.14_00:00:00.txt
FS-2012-035,2012-10-14.5,185.2,16.1,181,12,191,22,318,2012-10-14.4,0.4,255,0,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.14_12:00:00.txt
FS-2012-035,2012-10-15.0,181.8,16.4,180,15,182,17,90,2012-10-15.1,0.1,248,0,185,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.15_00:00:00.txt
FS-2012-037,2012-10-26.5,270.3,16.0,263,12,277,23,660,2012-11-04.2,9.2,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.26_12:00:00.txt
FS-2012-037,2012-10-27.0,270.1,16.0,263,11,277,24,919,2012-11-04.7,8.7,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.27_00:00:00.txt
FS-2012-037,2012-10-27.5,269.0,16.0,259,11,277,24,1043,2012-11-04.3,8.3,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.27_12:00:00.txt
FS-2012-037,2012-10-28.0,269.3,15.9,259,11,277,24,984,2012-11-04.8,7.8,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.28_00:00:00.txt
FS-2012-037,2012-10-28.5,268.5,15.7,259,11,277,24,933,2012-11-04.4,7.4,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.28_12:00:00.txt
FS-2012-037,2012-10-29.0,268.9,15.7,259,11,277,24,753,2012-11-04.8,6.8,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.29_00:00:00.txt
FS-2012-037,2012-10-29.5,267.4,15.1,258,11,277,23,792,2012-11-04.4,6.4,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.29_12:00:00.txt
FS-2012-037,2012-10-30.0,268.6,15.2,258,11,277,23,595,2012-11-04.8,5.8,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.30_00:00:00.txt
FS-2012-037,2012-10-30.5,267.8,14.6,258,11,277,22,651,2012-11-04.4,5.4,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.30_12:00:00.txt
FS-2012-037,2012-10-31.0,269.4,14.1,261,10,277,22,625,2012-11-04.8,4.8,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.31_00:00:00.txt
FS-2012-037,2012-10-31.5,267.6,13.7,259,10,277,22,634,2012-11-04.4,4.4,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.10.31_12:00:00.txt
FS-2012-037,2012-11-01.0,268.0,13.7,259,10,277,22,545,2012-11-04.9,3.9,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.01_00:00:00.txt
FS-2012-037,2012-11-01.5,267.2,12.7,259,10,275,19,502,2012-11-04.5,3.5,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.01_12:00:00.txt
FS-2012-037,2012-11-02.0,268.5,13.0,263,10,275,19,477,2012-11-04.9,2.9,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.02_00:00:00.txt
FS-2012-037,2012-11-02.5,269.4,13.0,263,9,277,19,585,2012-11-04.3,2.3,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.02_12:00:00.txt
FS-2012-037,2012-11-03.0,269.5,13.4,263,9,277,19,594,2012-11-04.8,1.8,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.03_00:00:00.txt
FS-2012-038,2012-11-03.0,191.4,-27.6,183,-29,201,-22,456,2012-11-11.2,8.2,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.03_00:00:00.txt
FS-2012-037,2012-11-03.5,270.1,13.4,264,9,277,19,514,2012-11-04.3,1.3,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.03_12:00:00.txt
FS-2012-038,2012-11-03.5,193.4,-27.0,183,-29,203,-21,504,2012-11-10.5,7.5,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.03_12:00:00.txt
FS-2012-037,2012-11-04.0,270.1,13.9,264,10,277,19,473,2012-11-04.8,0.8,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.04_00:00:00.txt
FS-2012-038,2012-11-04.0,196.7,-26.5,183,-29,213,-19,656,2012-11-10.7,6.7,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.04_00:00:00.txt
FS-2012-037,2012-11-04.5,269.8,13.9,265,11,274,19,264,2012-11-04.3,0.3,191,191,191,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.04_12:00:00.txt
FS-2012-038,2012-11-04.5,198.3,-25.9,184,-29,214,-19,787,2012-11-10.1,6.1,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.04_12:00:00.txt
FS-2012-037,2012-11-05.0,266.4,14.6,265,13,267,15,49,2012-11-05.1,0.1,173,152,152,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.05_00:00:00.txt
FS-2012-038,2012-11-05.0,197.7,-26.0,184,-29,214,-19,668,2012-11-10.6,5.6,0,51,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.11.05_00:00:00.txt
