designation,longitude,latitude,strength,eta at east limb,days from east limb,Timestamp,URL
FS-2013-015,139.7,-6.6,43,2013-05-24.8,1.8,2013-05-23.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.23_00:00:00.txt
FS-2013-016,0.6,-8.3,669,2013-06-03.8,8.8,2013-05-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.26_12:00:00.txt
FS-2013-016,0.2,-8.7,649,2013-06-04.3,8.3,2013-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.27_00:00:00.txt
FS-2013-016,0.3,-8.7,599,2013-06-03.8,7.8,2013-05-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.27_12:00:00.txt
FS-2013-016,359.7,-8.9,455,2013-06-04.4,7.4,2013-05-28.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.28_00:00:00.txt
FS-2013-016,359.8,-9.0,396,2013-06-03.9,6.9,2013-05-28.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.28_12:00:00.txt
FS-2013-016,360.0,-9.3,269,2013-06-04.4,6.4,2013-05-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.29_00:00:00.txt
FS-2013-016,1.3,-9.1,264,2013-06-03.8,5.8,2013-05-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.29_12:00:00.txt
FS-2013-016,1.1,-9.1,228,2013-06-04.3,5.3,2013-05-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.30_00:00:00.txt
FS-2013-016,1.6,-9.0,218,2013-06-03.7,4.7,2013-05-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.30_12:00:00.txt
FS-2013-016,1.0,-9.0,107,2013-06-04.3,4.3,2013-05-31.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.31_00:00:00.txt
FS-2013-016,1.0,-9.4,94,2013-06-03.8,3.8,2013-05-31.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.31_12:00:00.txt
FS-2013-017,158.5,-14.1,472,2013-06-19.2,1.2,2013-06-18.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.18_12:00:00.txt
FS-2013-017,158.7,-14.2,456,2013-06-19.7,0.7,2013-06-19.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.19_00:00:00.txt
FS-2013-017,157.2,-13.9,299,2013-06-19.3,0.3,2013-06-19.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.19_12:00:00.txt
FS-2013-017,153.7,-14.5,25,2013-06-20.0,0.0,2013-06-20.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.20_00:00:00.txt
FS-2013-018,6.7,-10.5,438,2013-07-01.1,2.1,2013-06-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.29_00:00:00.txt
FS-2013-018,6.7,-10.0,382,2013-06-30.6,1.6,2013-06-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.29_12:00:00.txt
FS-2013-018,6.0,-10.8,479,2013-07-01.2,1.2,2013-06-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.30_00:00:00.txt
FS-2013-018,5.8,-10.5,355,2013-06-30.7,0.7,2013-06-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.30_12:00:00.txt
FS-2013-018,5.0,-10.9,332,2013-07-01.3,0.3,2013-07-01.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.01_00:00:00.txt
FS-2013-018,2.0,-10.0,10,2013-07-01.0,0.0,2013-07-01.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.01_12:00:00.txt
FS-2013-019,130.4,-11.3,404,2013-07-18.5,8.5,2013-07-10.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.10_12:00:00.txt
FS-2013-019,130.3,-11.6,336,2013-07-19.0,8.0,2013-07-11.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.11_00:00:00.txt
FS-2013-019,130.1,-11.9,382,2013-07-18.5,7.5,2013-07-11.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.11_12:00:00.txt
FS-2013-019,129.5,-13.0,244,2013-07-19.1,7.1,2013-07-12.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.12_00:00:00.txt
FS-2013-019,129.4,-13.0,259,2013-07-18.6,6.6,2013-07-12.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.12_12:00:00.txt
FS-2013-019,129.1,-15.0,156,2013-07-19.2,6.2,2013-07-13.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.13_00:00:00.txt
FS-2013-019,129.3,-15.0,154,2013-07-18.6,5.6,2013-07-13.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.13_12:00:00.txt
FS-2013-019,129.9,-15.2,90,2013-07-19.1,5.1,2013-07-14.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.14_00:00:00.txt
FS-2013-019,130.1,-15.6,89,2013-07-18.6,4.6,2013-07-14.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.14_12:00:00.txt
FS-2013-019,131.3,-16.2,61,2013-07-19.0,4.0,2013-07-15.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.15_00:00:00.txt
FS-2013-019,131.2,-16.2,58,2013-07-18.5,3.5,2013-07-15.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.15_12:00:00.txt
FS-2013-019,133.2,-16.1,90,2013-07-18.9,2.9,2013-07-16.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.16_00:00:00.txt
FS-2013-019,133.3,-15.7,77,2013-07-18.4,2.4,2013-07-16.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.16_12:00:00.txt
FS-2013-019,135.7,-10.6,508,2013-07-18.6,1.6,2013-07-17.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.17_00:00:00.txt
FS-2013-019,134.9,-11.0,658,2013-07-18.2,1.2,2013-07-17.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.17_12:00:00.txt
FS-2013-019,135.0,-10.9,602,2013-07-18.7,0.7,2013-07-18.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.18_00:00:00.txt
FS-2013-019,132.6,-11.8,491,2013-07-18.4,0.4,2013-07-18.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.18_12:00:00.txt
FS-2013-020,15.1,-10.6,547,2013-07-27.2,9.2,2013-07-18.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.18_12:00:00.txt
FS-2013-019,127.7,-13.8,126,2013-07-19.3,0.3,2013-07-19.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.19_00:00:00.txt
FS-2013-020,7.4,-12.0,1018,2013-07-28.3,9.3,2013-07-19.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.19_00:00:00.txt
FS-2013-019,123.6,-11.8,19,2013-07-19.1,0.1,2013-07-19.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.19_12:00:00.txt
FS-2013-020,7.6,-11.7,1153,2013-07-27.8,8.8,2013-07-19.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.19_12:00:00.txt
FS-2013-020,4.5,-12.3,1423,2013-07-28.5,8.5,2013-07-20.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.20_00:00:00.txt
FS-2013-020,4.3,-12.3,1231,2013-07-28.0,8.0,2013-07-20.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.20_12:00:00.txt
FS-2013-020,0.1,-12.5,1343,2013-07-28.9,7.9,2013-07-21.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.21_00:00:00.txt
FS-2013-020,0.5,-12.0,1045,2013-07-28.3,7.3,2013-07-21.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.21_12:00:00.txt
FS-2013-021,77.1,21.3,410,2013-07-22.9,0.9,2013-07-22.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.22_00:00:00.txt
FS-2013-020,357.6,-12.3,889,2013-07-29.0,7.0,2013-07-22.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.22_00:00:00.txt
FS-2013-021,77.2,21.4,363,2013-07-22.3,0.3,2013-07-22.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.22_12:00:00.txt
FS-2013-020,3.5,-11.2,644,2013-07-28.1,6.1,2013-07-22.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.22_12:00:00.txt
FS-2013-021,73.2,22.0,96,2013-07-23.1,0.1,2013-07-23.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.23_00:00:00.txt
FS-2013-020,3.6,-12.0,432,2013-07-28.6,5.6,2013-07-23.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.23_00:00:00.txt
FS-2013-020,3.4,-12.0,397,2013-07-28.1,5.1,2013-07-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.23_12:00:00.txt
FS-2013-022,315.6,25.7,419,2013-07-31.7,8.7,2013-07-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.23_12:00:00.txt
FS-2013-020,2.2,-12.2,276,2013-07-28.8,4.8,2013-07-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.24_00:00:00.txt
FS-2013-022,315.7,25.8,279,2013-08-01.3,8.3,2013-07-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.24_00:00:00.txt
FS-2013-020,1.6,-12.2,220,2013-07-28.3,4.3,2013-07-24.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.24_12:00:00.txt
FS-2013-022,315.2,25.8,375,2013-07-31.7,7.7,2013-07-24.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.24_12:00:00.txt
FS-2013-020,2.1,-13.2,107,2013-07-28.7,3.7,2013-07-25.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.25_00:00:00.txt
FS-2013-022,314.2,26.4,183,2013-08-01.3,7.3,2013-07-25.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.25_00:00:00.txt
FS-2013-020,0.7,-13.5,76,2013-07-28.4,3.4,2013-07-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.25_12:00:00.txt
FS-2013-022,314.0,26.4,218,2013-07-31.8,6.8,2013-07-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.25_12:00:00.txt
FS-2013-020,1.1,-14.9,31,2013-07-28.9,2.9,2013-07-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.26_00:00:00.txt
FS-2013-022,312.5,27.5,82,2013-08-01.4,6.4,2013-07-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.26_00:00:00.txt
FS-2013-020,360.0,-15.1,96,2013-07-28.4,2.4,2013-07-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.26_12:00:00.txt
FS-2013-022,312.5,27.3,95,2013-07-31.9,5.9,2013-07-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.26_12:00:00.txt
FS-2013-020,0.1,-15.2,78,2013-07-28.9,1.9,2013-07-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.07.27_00:00:00.txt
