fs_name,ns_name,fs_timestamp,ns_timestamp,fs_cen_lon,ns_cen_lon,fs_cen_lat,ns_cen_lat,minX,minY,maxX,maxY,strength
FS-2014-101,12208,2014-11-08.0,2014-11-10,307.0,306.0,-10.8,-12,301,-18,315,-1,1103
FS-2014-103,12209,2014-11-11.0,2014-11-13,247.6,264.0,-13.2,-13,222,-27,273,3,6456
FS-2014-107,12216,2014-11-17.0,2014-11-21,162.3,164.0,-10.9,-13,129,-23,189,6,4123
FS-2014-112,12225,2014-11-28.0,2014-12-01,33.2,44.0,-15.8,-17,22,-25,49,-1,843
FS-2014-132,12255,2014-12-31.0,2015-01-02,314.9,322.0,-9.8,-14,303,-29,332,10,2487
FS-2015-009,12277,2015-01-26.5,2015-01-29,322.6,336.0,5.1,7,308,-18,340,22,3164
FS-2015-018,12282,2015-02-05.5,2015-02-08,188.1,196.0,17.7,15,170,1,207,48,1992
FS-2015-025,12289,2015-02-16.5,2015-02-19,47.5,58.0,-9.1,-7,32,-14,63,-1,1193
FS-2015-032,12297,2015-03-05.0,2015-03-07,195.1,195.0,-17.8,-17,186,-23,205,-10,1013
FS-2015-036,12303,2015-03-15.0,2015-03-18,58.9,66.0,21.8,19,57,12,68,22,714
FS-2015-038,12313,2015-03-23.0,2015-03-25,331.5,336.0,16.4,18,325,12,338,24,591
FS-2015-069,12356,2015-05-26.0,2015-05-29,192.0,199.0,-15.9,-15,177,-18,201,-12,345
FS-2015-071,12358,2015-05-29.0,2015-06-01,148.1,149.0,-2.9,-3,146,-5,151,-1,128
FS-2015-070,12361,2015-06-02.0,2015-06-05,95.7,101.0,19.2,16,89,9,104,30,843
FS-2015-080,12386,2015-07-10.0,2015-07-13,302.9,312.0,14.7,11,289,5,324,26,1970
FS-2015-104,12434,2015-10-11.5,2015-10-14,155.3,162.0,-9.3,-8,139,-18,175,-1,1709
FS-2015-105,12437,2015-10-17.5,2015-10-19,96.0,96.0,-20.1,-19,89,-25,103,-13,886
FS-2015-113,12448,2015-11-03.5,2015-11-05,229.4,233.0,4.8,6,224,2,236,10,325
FS-2015-115,12454,2015-11-11.0,2015-11-14,114.7,121.0,9.8,8,99,-13,124,25,713
FS-2015-122,12468,2015-12-08.0,2015-12-11,124.4,128.0,-13.5,-15,121,-20,132,-6,737
FS-2015-126,12472,2015-12-20.0,2015-12-22,320.3,328.0,4.3,4,314,-6,332,19,1232
FS-2016-012,12501,2016-02-13.5,2016-02-15,322.0,325.0,7.6,4,319,3,326,15,165
FS-2016-017,12513,2016-03-02.0,2016-03-03,89.2,94.0,13.8,11,80,10,98,19,497
FS-2016-022,12529,2016-04-07.0,2016-04-09,338.1,344.0,9.8,10,331,5,346,17,690
FS-2016-031,12553,2016-06-08.5,2016-06-11,223.9,226.0,-4.7,-6,217,-9,232,-1,670
FS-2016-034,12562,2016-07-06.0,2016-07-08,225.5,225.0,-4.9,-5,223,-6,228,-1,76
FS-2016-035,12564,2016-07-07.0,2016-07-09,204.8,207.0,10.6,10,197,7,214,17,845
FS-2016-036,12565,2016-07-10.0,2016-07-12,172.4,175.0,4.2,4,166,1,178,10,469
FS-2016-045,12599,2016-10-02.0,2016-10-04,140.6,146.0,-12.6,-12,127,-18,151,-3,1347
FS-2017-004,12651,2017-04-17.0,2017-04-19,65.5,72.0,13.9,12,55,9,74,21,644
FS-2017-007,12682,2017-09-23.0,2017-09-25,124.3,127.0,-8.1,-9,121,-13,131,-1,481
